"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"60 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.062374,-73.533541,1,rooftop,"60 Strawberry Hill Ave",,"Stamford, CT 06902",60,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ek43kzayzug2a9,building_centroid
"107 LOCKWOOD AVENUE",STAMFORD,CT,41.052442,-73.521904,1,rooftop,"107 Lockwood Ave",,"Stamford, CT 06902",107,"Lockwood Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnjnsvcabu288cghmstrawx7pv8e,building_centroid
"1400 BEDFORD STREET",STAMFORD,CT,41.063589,-73.540793,1,rooftop,"1400 Bedford St",,"Stamford, CT 06905",1400,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5dc6tzw8b72lcze,building_centroid
"30 MAPLE TREE AVENUE",STAMFORD,CT,41.071582,-73.515066,1,rooftop,"30 Maple Tree Ave",,"Stamford, CT 06906",30,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsmear9lz6ghel7a9,building_centroid
"37 GREENWICH AVENUE",STAMFORD,CT,41.049426,-73.546699,1,rooftop,"37 Greenwich Ave",,"Stamford, CT 06902",37,"Greenwich Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnyd6a59b34xks3a867gmjlhuybf,building_centroid
"39 WOODWAY ROAD ",STAMFORD,CT,41.101844,-73.514605,1,rooftop,"39 Woodway Rd",,"Stamford, CT 06907",39,"Woodway Rd",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnqrbt6htjknrmar2vmt8gpa5d5c,building_centroid
"30 GLENBROOK ROAD",STAMFORD,CT,41.056483,-73.530063,1,rooftop,"30 Glenbrook Rd",,"Stamford, CT 06902",30,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve647y98gmk8fx6,building_centroid
"30 GLENBROOK ROAD",STAMFORD,CT,41.056483,-73.530063,1,rooftop,"30 Glenbrook Rd",,"Stamford, CT 06902",30,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve647y98gmk8fx6,building_centroid
"180 GLENBROOK ROAD ",STAMFORD,CT,41.06069,-73.527456,1,rooftop,"180 Glenbrook Rd",,"Stamford, CT 06902",180,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve2u8jde7mx7fq4,building_centroid
"180 GLENBROOK ROAD #GAR70",STAMFORD,CT,41.06069,-73.527456,1,rooftop,"180 Glenbrook Rd","# GAR70","Stamford, CT 06902",180,"Glenbrook Rd",#,GAR70,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnqrk9rbqbd8lve2u8jde7mx7fq4-ew4aqcse4fn7f,building_centroid
"237 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.068352,-73.532988,1,rooftop,"237 Strawberry Hill Ave",,"Stamford, CT 06902",237,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247ear6vymy9l2npe,building_centroid
"264 GLENBROOK ROAD",STAMFORD,CT,41.063277,-73.523748,1,rooftop,"264 Glenbrook Rd",,"Stamford, CT 06906",264,"Glenbrook Rd",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnta7zqter5yv9fczweaxwwctzfc,building_centroid
"149 MYRTLE AVENUE",STAMFORD,CT,41.051436,-73.527468,1,rooftop,"149 Myrtle Ave",,"Stamford, CT 06902",149,"Myrtle Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn7ykrfcpkdx45e9nfk5drcluxh5,building_centroid
"1051 EAST MAIN STREET ",STAMFORD,CT,41.056577,-73.517551,1,rooftop,"1051 E Main St",,"Stamford, CT 06902",1051,"E Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38eh9azcrnap7mrme,building_centroid
"0 LARKIN STREET ",STAMFORD,CT,41.078143,-73.520444,1,street_center,"Larkin St",,"Stamford, CT 06907",,"Larkin St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usslsbpvdgesz4t2,
"984 HIGH RIDGE ROAD ",STAMFORD,CT,41.105039,-73.548846,1,rooftop,"984 High Ridge Rd",,"Stamford, CT 06905",984,"High Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnyvscp4ey3fbqahqwn3jvq3syz6,building_centroid
"61 SEAVIEW AVENUE",STAMFORD,CT,41.040809,-73.523368,1,rooftop,"61 Seaview Ave",,"Stamford, CT 06902",61,"Seaview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn6sb6uxruwbpp5k82drhq8n7et5,building_centroid
"76 KNICKERBOCKER AVENUE ",STAMFORD,CT,41.0869,-73.520683,1,rooftop,"76 Knickerbocker Ave",,"Stamford, CT 06907",76,"Knickerbocker Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn6expwtzjp7um2dx3jwfskq49c7,building_centroid
"105 COLUMBUS PLACE",STAMFORD,CT,41.099671,-73.512692,1,rooftop,"105 Columbus Pl",,"Stamford, CT 06907",105,"Columbus Pl",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn2g5ngj4eyywghafxhbj9rvez74,building_centroid
"900 HOPE STREET",STAMFORD,CT,41.089664,-73.518214,1,rooftop,"900 Hope St",,"Stamford, CT 06907",900,"Hope St",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnfkq23mubsxdk38yrj9gp9vemb3,building_centroid
"69 WILSON STREET",STAMFORD,CT,41.04562,-73.553592,1,rooftop,"69 Wilson St",,"Stamford, CT 06902",69,"Wilson St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnquvnxtg2c73a5pcdkq8aucgwbb,building_centroid
"96 COLD SPRING ROAD",STAMFORD,CT,41.070044,-73.552694,1,rooftop,"96 Cold Spring Rd",,"Stamford, CT 06905",96,"Cold Spring Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnm2ddqvxs2a3ycxptkqd89cbwpe,building_centroid
"2215 SUMMER STREET ",STAMFORD,CT,41.067551,-73.545298,1,rooftop,"2215 Summer St",,"Stamford, CT 06905",2215,"Summer St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnfhzebygqbquk76xnjcuuhaw2a5,building_centroid
"50 MYANO LANE ",STAMFORD,CT,41.050596,-73.564726,1,rooftop,"50 Myano Ln",,"Stamford, CT 06902",50,"Myano Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usndh4x6hws7ne67ye7m6677n4j6d,building_centroid
"28 THIRD STREET",STAMFORD,CT,41.064735,-73.542085,1,rooftop,"28 3rd St",,"Stamford, CT 06905",28,"3rd St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usny5hmtnv5mjbqdgl4z25xqecp6f,building_centroid
"28 THIRD STREET",STAMFORD,CT,41.064735,-73.542085,1,rooftop,"28 3rd St",,"Stamford, CT 06905",28,"3rd St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usny5hmtnv5mjbqdgl4z25xqecp6f,building_centroid
"36 HIGHVIEW AVENUE",STAMFORD,CT,41.096826,-73.516619,1,rooftop,"36 Highview Ave",,"Stamford, CT 06907",36,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnftw54ttqqabzdymld6cmpe9wv7,building_centroid
"39 FERRIS AVENUE ",STAMFORD,CT,41.046281,-73.560062,1,rooftop,"39 Ferris Ave",,"Stamford, CT 06902",39,"Ferris Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn8dzckgvlyfxhdavan2c8javqmg,building_centroid
"82 HIGHVIEW AVENUE",STAMFORD,CT,41.09819,-73.515783,1,rooftop,"82 Highview Ave",,"Stamford, CT 06907",82,"Highview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnftw54ttqqabzdxyx4jvtwh2zl3,building_centroid
"50 HIGH STREET",STAMFORD,CT,41.049998,-73.552724,1,rooftop,"50 High St",,"Stamford, CT 06902",50,"High St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnh95gsknescu6fvuhn2yzu77q27,building_centroid
"260 CEDAR WOOD ROAD ",STAMFORD,CT,41.152142,-73.546174,1,rooftop,"260 Cedarwood Rd",,"Stamford, CT 06903",260,"Cedarwood Rd",,,Stamford,CT,"Western Connecticut Planning Region",06903,US,"Connecticut Geospatial Information Systems Council",gcod_usnknkpzjlcz5h95k22fus8bzm54a,parcel_centroid
"9 WILLIAM STREET ",STAMFORD,CT,41.053185,-73.524689,1,rooftop,"9 William St",,"Stamford, CT 06902",9,"William St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnq7nyvd2frdqehe4axmnyk6cm8g,building_centroid
"26 PERRY STREET",STAMFORD,CT,41.046621,-73.549853,1,rooftop,"26 Perry St",,"Stamford, CT 06902",26,"Perry St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn23kblxdkepxydqg48wc63tluna,building_centroid
"104 NORTH STREET #303",STAMFORD,CT,41.059103,-73.542324,1,rooftop,"104 North St","Apt 303","Stamford, CT 06902",104,"North St",Apt,303,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabg7tmjp4hf7h7p9-7av2tram7cxn3,building_centroid
"46 TAYLOR STREET",STAMFORD,CT,41.046223,-73.548541,1,rooftop,"46 Taylor St",,"Stamford, CT 06902",46,"Taylor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usndxth7zswun6qf3l9jkwqph24f9,building_centroid
"46 TAYLOR STREET",STAMFORD,CT,41.046223,-73.548541,1,rooftop,"46 Taylor St",,"Stamford, CT 06902",46,"Taylor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usndxth7zswun6qf3l9jkwqph24f9,building_centroid
"42 MAGEE AVENUE",STAMFORD,CT,41.048314,-73.528226,1,rooftop,"42 Magee Ave",,"Stamford, CT 06902",42,"Magee Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn9a6bt4hdtehy7fcmwslk33vul5,building_centroid
"182 TURNER ROAD ",STAMFORD,CT,41.081978,-73.542075,1,rooftop,"182 Turner Rd",,"Stamford, CT 06905",182,"Turner Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usn7ga2ur5dgqk9ffbfwgxb43j6d5,building_centroid
"94 SOUTHFIELD AVENUE",STAMFORD,CT,41.036993,-73.547353,1,rooftop,"94 Southfield Ave",,"Stamford, CT 06902",94,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn9rvkb5jqlhl7g3rqa4kzp636hd,building_centroid
"94 SOUTHFIELD AVENUE",STAMFORD,CT,41.036993,-73.547353,1,rooftop,"94 Southfield Ave",,"Stamford, CT 06902",94,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn9rvkb5jqlhl7g3rqa4kzp636hd,building_centroid
"94 SOUTHFIELD AVENUE ",STAMFORD,CT,41.036993,-73.547353,1,rooftop,"94 Southfield Ave",,"Stamford, CT 06902",94,"Southfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn9rvkb5jqlhl7g3rqa4kzp636hd,building_centroid
"110 MAPLE TREE AVENUE",STAMFORD,CT,41.07228,-73.511559,1,rooftop,"110 Maple Tree Ave",,"Stamford, CT 06906",110,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsme7n8parkp2v5fc,building_centroid
"11 LARGO DRIVE SOUTH ",STAMFORD,CT,41.088577,-73.51737,1,rooftop,"11 Largo Dr S",,"Stamford, CT 06907",11,"Largo Dr S",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"Connecticut Geospatial Information Systems Council",gcod_usnebe3664um2a27qh6ll26xl74qc,building_centroid
"45 RESEARCH DRIVE",STAMFORD,CT,41.076476,-73.51934,1,rooftop,"45 Research Dr",,"Stamford, CT 06906",45,"Research Dr",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnpxzxex64qef6gavvt4nfp4n97b,building_centroid
"22 ANTHONY STREET",STAMFORD,CT,41.049195,-73.553325,1,rooftop,"22 Anthony St",,"Stamford, CT 06902",22,"Anthony St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnm23a25rmm2b34kuejq3dgjxnd4,building_centroid
"15 WELLS AVENUE",STAMFORD,CT,41.035076,-73.548389,1,rooftop,"15 Wells Ave",,"Stamford, CT 06902",15,"Wells Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usng8nan9mcv6msajysgxtdshjqw4,building_centroid
"53 CHARLES STREET",STAMFORD,CT,41.044661,-73.510086,1,rooftop,"53 Charles St",,"Stamford, CT 06902",53,"Charles St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn8zn2nysg9ns7bq7vx5jr744tqc,building_centroid
"110 WILLOWBROOK AVENUE",STAMFORD,CT,41.045108,-73.513931,1,rooftop,"110 Willowbrook Ave",,"Stamford, CT 06902",110,"Willowbrook Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn8znjht2qgk3keg25nvq6blwjj8,building_centroid
"98 SOUNDVIEW DRIVE",STAMFORD,CT,41.040229,-73.512936,1,rooftop,"98 Soundview Dr",,"Stamford, CT 06902",98,"Soundview Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn8vej668tp8hy6edv2ulcag99d7,building_centroid
"0 MADISON PLACE",STAMFORD,CT,41.045278,-73.552282,1,street_center,"Madison Pl",,"Stamford, CT 06902",,"Madison Pl",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usswyxekgvhpfkc7,
"23 MADISON PLACE",STAMFORD,CT,41.045488,-73.552218,1,rooftop,"23 Madison Pl",,"Stamford, CT 06902",23,"Madison Pl",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnwyxekgvhpfkc7j7n28zghjus8h,building_centroid
"2435 BEDFORD STREET ",STAMFORD,CT,41.070476,-73.541911,1,rooftop,"2435 Bedford St",,"Stamford, CT 06905",2435,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5dejl3dbcr363kd,building_centroid
"258 ATLANTIC STREET ",STAMFORD,CT,41.051818,-73.539241,1,rooftop,"258 Atlantic St",,"Stamford, CT 06901",258,"Atlantic St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usn4g7f8x5yzp7udmhybxhcjtlqs6,building_centroid
"258 ATLANTIC STREET",STAMFORD,CT,41.051818,-73.539241,1,rooftop,"258 Atlantic St",,"Stamford, CT 06901",258,"Atlantic St",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usn4g7f8x5yzp7udmhybxhcjtlqs6,building_centroid
"190 PALMERS HILL ROAD",STAMFORD,CT,41.059635,-73.567843,1,range_interpolation,"190 Palmers Hill Rd",,"Stamford, CT 06902",190,"Palmers Hill Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® from the US Census Bureau",gcod_usnabgy8rz5tgg72amc2c4s8twxwb,
"71 STRAWBERRY HILL AVENUE",STAMFORD,CT,41.063039,-73.532284,1,rooftop,"71 Strawberry Hill Ave",,"Stamford, CT 06902",71,"Strawberry Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnte84mnkbs247et9f3pj5evhdfa,building_centroid
"76 VIADUCT ROAD ",STAMFORD,CT,41.08161,-73.519529,1,rooftop,"76 Viaduct Rd",,"Stamford, CT 06907",76,"Viaduct Rd",,,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usn5hldge7zuhy48x393qmbd6zmx8,building_centroid
"277 TURN OF RIVER ROAD ",STAMFORD,CT,41.110572,-73.53951,1,rooftop,"277 Turn of River Rd",,"Stamford, CT 06905",277,"Turn of River Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"Connecticut Geospatial Information Systems Council",gcod_usnj4ayc3fn7wv23rkv52bvd644za,building_centroid
"275 TURN OF RIVER ROAD ",STAMFORD,CT,41.112077,-73.543704,1,rooftop,"275 Turn of River Rd",,"Stamford, CT 06905",275,"Turn of River Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnj4ayc3fn7wv23rrzp7ssw4vp3f,building_centroid
"168 BELLTOWN ROAD",STAMFORD,CT,41.081688,-73.531965,1,rooftop,"168 Belltown Rd",,"Stamford, CT 06905",168,"Belltown Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxuvbnflhwv3x3x44eje3tmsju7,building_centroid
"25 CENTER STREET",STAMFORD,CT,41.070511,-73.523717,1,rooftop,"25 Center St",,"Stamford, CT 06906",25,"Center St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnpne2zlzcdls57jelz8dx9rl5bc,building_centroid
"2289 BEDFORD STREET",STAMFORD,CT,41.069671,-73.543516,1,rooftop,"2289 Bedford St",,"Stamford, CT 06905",2289,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5d45b5cal8djn84,building_centroid
"2289 BEDFORD STREET",STAMFORD,CT,41.069671,-73.543516,1,rooftop,"2289 Bedford St",,"Stamford, CT 06905",2289,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5d45b5cal8djn84,building_centroid
"2289 BEDFORD STREET",STAMFORD,CT,41.069671,-73.543516,1,rooftop,"2289 Bedford St",,"Stamford, CT 06905",2289,"Bedford St",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnxgapvae5gwy5d45b5cal8djn84,building_centroid
"0 HARBOR DRIVE",STAMFORD,CT,41.034582,-73.533653,1,street_center,"Harbor Dr",,"Stamford, CT 06902",,"Harbor Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussf6peeepruj8ub,
"0 HARBOR DRIVE",STAMFORD,CT,41.034582,-73.533653,1,street_center,"Harbor Dr",,"Stamford, CT 06902",,"Harbor Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussf6peeepruj8ub,
"0 HARBOR DRIVE",STAMFORD,CT,41.034582,-73.533653,1,street_center,"Harbor Dr",,"Stamford, CT 06902",,"Harbor Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussf6peeepruj8ub,
"450 WEST AVENUE",STAMFORD,CT,41.039351,-73.558183,1,rooftop,"450 West Ave",,"Stamford, CT 06902",450,"West Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnkkg6732v69cpgu62zhantbg5y5,building_centroid
"427 WEST AVENUE",STAMFORD,CT,41.03785,-73.558863,1,rooftop,"427 West Ave",,"Stamford, CT 06902",427,"West Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnkkg6732v69cpg4hu92dj5x25s4,building_centroid
"10 LINDEN PLACE",STAMFORD,CT,41.06026,-73.544831,1,rooftop,"10 Linden Pl",,"Stamford, CT 06902",10,"Linden Pl",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnchype6ypxgpj9pqm8ttgs8c8bb,building_centroid
"16 MANOR STREET",STAMFORD,CT,41.039722,-73.54042,1,rooftop,"16 Manor St",,"Stamford, CT 06902",16,"Manor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrxgx3wfg6ws4fcwueht8qbnr2f,building_centroid
"100 RESEARCH DRIVE",STAMFORD,CT,41.077301,-73.520002,1,rooftop,"100 Research Dr",,"Stamford, CT 06906",100,"Research Dr",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnpxzxex64qef6ghtjuh6jdtyuxc,building_centroid
"130 LENOX AVENUE",STAMFORD,CT,41.069814,-73.510681,1,rooftop,"130 Lenox Ave",,"Stamford, CT 06906",130,"Lenox Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlvvkgajhh9xfbcv7lmnr4dsgb2,building_centroid
"130 LENOX AVENUE",STAMFORD,CT,41.069814,-73.510681,1,rooftop,"130 Lenox Ave",,"Stamford, CT 06906",130,"Lenox Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlvvkgajhh9xfbcv7lmnr4dsgb2,building_centroid
"12 CATOONA LANE",STAMFORD,CT,41.051612,-73.566392,1,rooftop,"12 Catoona Ln",,"Stamford, CT 06902",12,"Catoona Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4xpaq7yqnqlqcfmhahcatknwe5,building_centroid
"0 PONUS RIDGE ROAD",STAMFORD,CT,41.037706,-73.52543,1,street_center,"Ponus Ave",,"Stamford, CT 06902",,"Ponus Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® dataset from the US Census Bureau",gcod_usstply64sd66824,
"30 HUNTING LANE ",STAMFORD,CT,41.102097,-73.559868,1,rooftop,"30 Hunting Ln",,"Stamford, CT 06902",30,"Hunting Ln",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn6crmujv74j9gg9n2heal9w943f,building_centroid
"35  WEST BROAD STREET  #425",STAMFORD,CT,41.055906,-73.546195,1,rooftop,"35 W Broad St","Unit 425","Stamford, CT 06902",35,"W Broad St",Unit,425,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnxrn5wgumjceu3kyprzg694bx4f-q6467j44yjngf,building_centroid
"48 MANOR STREET",STAMFORD,CT,41.040141,-73.539242,1,rooftop,"48 Manor St",,"Stamford, CT 06902",48,"Manor St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrxgx3wfg6ws4fzfs3euza6y9sd,building_centroid
"100 SPRUCE STREET ",STAMFORD,CT,41.051358,-73.550311,1,rooftop,"100 Spruce St",,"Stamford, CT 06902",100,"Spruce St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn4eycv8yg9bfv6dwl2gqrjggjaf,building_centroid
"25  FOREST STREET  #10J",STAMFORD,CT,41.056436,-73.5366,1,rooftop,"25 Forest St","Apt 10J","Stamford, CT 06901",25,"Forest St",Apt,10J,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usnb274rsjhswc4dl4dpytflle7gb-en6adwrwsv8w2,building_centroid
"1029 EAST MAIN STREET ",STAMFORD,CT,41.056314,-73.518509,1,rooftop,"1029 E Main St",,"Stamford, CT 06902",1029,"E Main St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usntvhz3k7qw38ehx5brbj5jtvur9,building_centroid
"1515 SUMMER STREET #UT704",STAMFORD,CT,41.063202,-73.542171,1,rooftop,"1515 Summer St","Unit 704","Stamford, CT 06905",1515,"Summer St",Unit,704,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnfhzebygqbquk7762f2jsy532a9-eqgkrhfbgu8xd,building_centroid
"85  CAMP AVENUE  #UT 7A",STAMFORD,CT,41.09495,-73.514925,1,rooftop,"85 Camp Ave","# UT","Stamford, CT 06907",85,"Camp Ave",#,UT,Stamford,CT,"Western Connecticut Planning Region",06907,US,"City of Stamford",gcod_usnkjmhqvk3sd7fa6k6jp6eqc476b-drjktjrwljh53,building_centroid
"110 PINE HILL AVENUE",STAMFORD,CT,41.071381,-73.528953,1,rooftop,"110 Pine Hill Ave",,"Stamford, CT 06906",110,"Pine Hill Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnl269s6r53lvl54hwjxnbf4upvc,building_centroid
"14 GREGORY STREET",STAMFORD,CT,41.053852,-73.524146,1,rooftop,"14 Gregory St",,"Stamford, CT 06902",14,"Gregory St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnf7sk5bvkfq267ccj39jj9tqsaf,building_centroid
"38 MAPLE TREE AVENUE ",STAMFORD,CT,41.071639,-73.51476,1,rooftop,"38 Maple Tree Ave",,"Stamford, CT 06906",38,"Maple Tree Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnlpm6xtnxdrsmehswek3jbaragh,building_centroid
"36 TURN OF RIVER ROAD",STAMFORD,CT,41.104099,-73.547697,1,rooftop,"36 Turn of River Rd",,"Stamford, CT 06905",36,"Turn of River Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnj4ayc3fn7wv2345nbuj8rc98ra,building_centroid
"482 FAIRFIELD AVENUE ",STAMFORD,CT,41.034893,-73.551428,1,rooftop,"482 Fairfield Ave",,"Stamford, CT 06902",482,"Fairfield Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbau5kw53kfcehw5w7lf73js6s7,building_centroid
